,Name,Type,Park Code,Org Code,Region,NameType
176,GRANT-KOHRS RANCH      ,NHS,GRKO,1586,IMR,GRANT-KOHRS RANCH NHS
177,GREAT BASIN    ,NP,GRBA,8420,PWR,GREAT BASIN NP
179,GREAT SAND DUNES    ,NP,GRSA,1470,IMR,GREAT SAND DUNES NP
180,GREAT SAND DUNES      ,PRES,GRSA,1470,IMR,GREAT SAND DUNES PRES
181,GREAT SMOKY MOUNTAINS     ,NP,GRSM,5460,SER,GREAT SMOKY MOUNTAINS NP
183,GUADALUPE MOUNTAINS    ,NP,GUMO,7181-7189,IMR,GUADALUPE MOUNTAINS NP
184,GUILFORD COURTHOUSE       ,NMP,GUCO,5170,SER,GUILFORD COURTHOUSE NMP
185,GULF ISLANDS     ,NS,GUIS,5320-5326,SER,GULF ISLANDS NS
186,HAGERMAN FOSSIL BEDS    ,NM,HAFO,9608 9360,PWR,HAGERMAN FOSSIL BEDS NM
187,HALEAKALA    ,NP,HALE,8291-8299,PWR,HALEAKALA NP
188,HAMILTON GRANGE NM,NMEM,HAGR,1815,NER,HAMILTON GRANGE NM NMEM
189,HAMPTON  ,NHS,HAMP,4350,NER,HAMPTON NHS
190,HARPERS FERRY   ,NHP,HAFE,3851-3856,NCR,HARPERS FERRY NHP
193,HARRY S TRUMAN       ,NHS,HSTR,6460,MWR,HARRY S TRUMAN NHS
194,HAWAII VOLCANOES    ,NP,HAVO,8301-8306,PWR,HAWAII VOLCANOES NP
195,HERBERT HOOVER       ,NHS,HEHO,6470,MWR,HERBERT HOOVER NHS
198,HOMESTEAD     ,NM,HOME,6480,MWR,HOMESTEAD NM
199,HONOULIULI,NM,HONO,8890,PWR,HONOULIULI NM
200,HOPEWELL CULTURE       ,NHP,HOCU,6514,MWR,HOPEWELL CULTURE NHP
201,HOPEWELL FURNACE  ,NHS,HOFU,4430,NER,HOPEWELL FURNACE NHS
202,HORSESHOE BEND       ,NMP,HOBE,5480,SER,HORSESHOE BEND NMP
